,Unnamed: 0,user_id,name,username,description,created_at,followers_count,following_count,following_list,following_agentid_list,previous_tweets,category,tweets_id,user_char,activity_level_frequency,activity_level
10,10,10,🏋️🏿‍♂️ Feaux Fit Fella 🏋️🏿‍♂️,MeechiiMeech,Just a nice guy getting through the bullshit #taken👬🏿#IG #Snapchat @Meechiimeech $Meechiimeech,2009-12-07 22:55:41+00:00,23968,12125,[8],[],[],Entertainment,4488876,Just a nice guy getting through the bullshit #taken👬🏿#IG #Snapchat @Meechiimeech $Meechiimeech,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
11,11,11,Martha Madison,Marth27,,2009-04-10 22:37:36+00:00,28019,0,[8],[],[],Entertainment,4488876,,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
12,12,12,card counting as a skill on resume guy,fart,tall but otherwise normal,2008-03-17 23:27:03+00:00,143455,1616,[],[],[],Entertainment,6068796,tall but otherwise normal,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
13,13,13,MSNBC,MSNBC,"The place for in-depth analysis, political commentary and diverse perspectives to #UnderstandMore.",2007-03-29 13:15:41+00:00,5093657,807,[],[],['breaking: patient being tested for ebola in kansas URL URL'],Health,2362874,"The place for in-depth analysis, political commentary and diverse perspectives to #UnderstandMore.","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
14,14,14,12 News,12News,"We are dedicated to journalism, dedicated to you and dedicated to Arizona.  News tip? connect@12news.com or call/text 602-444-1212. A TEGNA company.",2008-11-05 12:15:42+00:00,236904,8235,[13],[],[],Health,2362874,"We are dedicated to journalism, dedicated to you and dedicated to Arizona.  News tip? connect@12news.com or call/text 602-444-1212. A TEGNA company.","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
15,15,15,Ben McRea,Ben_McRea,#UMWA Local #2397,2010-03-12 05:38:03+00:00,23511,25724,[13],[],[],Health,2362874,#UMWA Local #2397,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
16,16,16,Richard Wolffe,richardwolffedc,"Author, MD @chefJoseAndres Media, columnist @guardianUS, @lfc fan, ex-@msnbc @Newsweek @FinancialTimes @glblctzn @gohandshake Opinions are mine. All mine.",2009-07-14 14:02:38+00:00,66447,1642,[13],[],[],Health,2362874,"Author, MD @chefJoseAndres Media, columnist @guardianUS, @lfc fan, ex-@msnbc @Newsweek @FinancialTimes @glblctzn @gohandshake Opinions are mine. All mine.","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
17,17,17,𝕾'𝖙 𝕮𝖔𝖔𝖑𝖎𝖔 💎,Erhrights,Well wisher,2014-07-29 09:47:52+00:00,23839,13614,[20],[],[],Health,4666697,Well wisher,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
18,18,18,Mihlali Ndamase 🤍,mihlalii_n,#Forbes30Under30. Founder of #BeautyandTheBeat @malakytsa Multi- Award Winning Content Creator. 📧: hello@thecreativehandler.co.za . Latest YouTube Vid👇🏾,2011-07-25 10:30:36+00:00,1308590,1,[20],[],[],Health,4666697,#Forbes30Under30. Founder of #BeautyandTheBeat @malakytsa Multi- Award Winning Content Creator. 📧: hello@thecreativehandler.co.za . Latest YouTube Vid👇🏾,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
19,19,19,IG: WitsVuvuzela,WitsVuvuzela,"South Africa’s most read student news publication. Listen, watch, read: https://t.co/o09Hhqv3FB",2009-07-13 08:53:36+00:00,21405,1274,[20],[],[],Health,4666697,"South Africa’s most read student news publication. Listen, watch, read: https://t.co/o09Hhqv3FB","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
20,20,20,CNN International,cnni,"Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.",2007-03-24 10:48:14+00:00,14824721,365,[],[],"[""what's lurking underneath that crispy crust? a kfc customer claims he got a fried rat: URL URL""]",Health,4666697,"Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
21,21,21,Oaitse,OaitseBW,"i'm a miracle, my life is a masterpiece unfolding.",2011-06-29 00:05:25+00:00,26881,9130,[20],[],[],Health,4666697,"i'm a miracle, my life is a masterpiece unfolding.","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
22,22,22,Space Shuttle Almanac,ShuttleAlmanac,"eBooks covering the Space Shuttle, International Space Station, Russian & Chinese Space programs. We tweet every major Space launch and story, follow and enjoy!",2011-08-29 00:42:10+00:00,34305,3739,[20],[],[],Health,4666697,"eBooks covering the Space Shuttle, International Space Station, Russian & Chinese Space programs. We tweet every major Space launch and story, follow and enjoy!","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
23,23,23,سمیرا,SumairaJajja,"Introducing uncertainty to all systems. Old school journalist. Bylines in @Dawn_com, The News, Daily Times, @newhumanitarian.",2009-03-03 18:24:39+00:00,21184,2393,[],[],[],Health,4666697,"Introducing uncertainty to all systems. Old school journalist. Bylines in @Dawn_com, The News, Daily Times, @newhumanitarian.","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
24,24,24,Vikas Saraswat,VikasSaraswat,"Entrepreneur and writer. Columnist at Swarajya and Dainik Jagran. Chapter Co ordinator, Indic Academy, Agra


Jamuna kinare mero gaon",2010-04-11 10:06:10+00:00,51068,1029,[],[],[],Health,4666697,"Entrepreneur and writer. Columnist at Swarajya and Dainik Jagran. Chapter Co ordinator, Indic Academy, Agra


Jamuna kinare mero gaon","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
25,25,25,د/ عبدالمطلب بهبهاني,DrBehbehaniAM,عملي طبيب عيون ، كلامي شأن عام ، ارقام العيادة 25620700/55530973,2010-04-23 16:35:22+00:00,86273,1198,[20],[],[],Health,4666697,عملي طبيب عيون ، كلامي شأن عام ، ارقام العيادة 25620700/55530973,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
26,26,26,WDAY TV News,WDAYnews,"Your source for news, weather, sports, and exclusive local stories in the FM region and beyond for the past 70 YEARS! 🎥🌤️🏈 Download the WDAY+ app NOW 📱",2011-02-02 21:26:10+00:00,28760,305,[],[],[],Health,4666697,"Your source for news, weather, sports, and exclusive local stories in the FM region and beyond for the past 70 YEARS! 🎥🌤️🏈 Download the WDAY+ app NOW 📱","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
27,27,27,Faisal Ahmad Jafri,faisalahmadj,"TechOperations, Trust and Safety & Experience Professional | Macroeconomics & Politics | Fitness | Tweets & Re-tweets personal | foodpanda| ex-Nokia| ex-Telenor",2009-12-09 15:49:51+00:00,20721,2215,[20],[],[],Health,4666697,"TechOperations, Trust and Safety & Experience Professional | Macroeconomics & Politics | Fitness | Tweets & Re-tweets personal | foodpanda| ex-Nokia| ex-Telenor","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
28,28,28,Koch Industries,KochIndustries,"Food. Shelter. Clothing. Transportation. Koch Industries creates life’s basic necessities, while innovating ways to make them even better.",2009-09-29 20:23:10+00:00,64882,315,[29],[],[],Politics,4094408,"Food. Shelter. Clothing. Transportation. Koch Industries creates life’s basic necessities, while innovating ways to make them even better.","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
29,29,29,Royce IG= RoyceReed,Roycelr,"35+,Mother, Author,Former OMD & MHD Dancer,RealityTV, Founder/Owner of Fantashique Dance Co. Run my name thru MUD I STILL COME OUT CLEAN!",2009-10-18 01:27:55+00:00,443982,508,[],[],"[""please read! do not purchase koch products. they're paying for zimmerman's attorney fees! URL""]",Politics,4094408,"35+,Mother, Author,Former OMD & MHD Dancer,RealityTV, Founder/Owner of Fantashique Dance Co. Run my name thru MUD I STILL COME OUT CLEAN!","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
30,30,30,yusuke,juanvenchy,the monsters turned out to be just trees — https://t.co/2U83dz1RrQ,2013-03-13 01:19:37+00:00,174492,817,[],[],[],Politics,4094408,the monsters turned out to be just trees — https://t.co/2U83dz1RrQ,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
31,31,31,I Came; I Saw; I Got Over Macho Grande,smitty_one_each,"Christian, Navy. George Floyd wasn't a saint, and Epstein didn't kill himself.",2009-08-14 00:52:04+00:00,45964,50431,[37],[],[],Politics,5256535,"Christian, Navy. George Floyd wasn't a saint, and Epstein didn't kill himself.","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
32,32,32,Change,CoolChange80,Cynical .  Populist .,2011-09-16 04:02:06+00:00,29116,31979,[37],[],[],Politics,5256535,Cynical .  Populist .,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
33,33,33,Dennis,nobullchit,Visit my website- No Bull Chit -to get HONEST reviews of many sites. I am SICK AND TIRED OF ALL THE B/S ON LINE! See my web page to find GOOD   sites.,2009-01-04 21:11:37+00:00,21396,23250,[37],[],[],Politics,5256535,Visit my website- No Bull Chit -to get HONEST reviews of many sites. I am SICK AND TIRED OF ALL THE B/S ON LINE! See my web page to find GOOD   sites.,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
34,34,34,#Thankful,Just_a_Texan,"Don't follow if you're PC, vote DEM, don't vote or are racist. 🇺🇸 #StopTheSteal",2012-10-16 12:05:41+00:00,51691,49341,[37],[],[],Politics,5256535,"Don't follow if you're PC, vote DEM, don't vote or are racist. 🇺🇸 #StopTheSteal","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
35,35,35,Dominion Sovereignty,WeR4everLink,https://t.co/1uHgLvfnhR… Alejandra,2014-05-27 22:04:20+00:00,40401,30134,[37],[],[],Politics,5256535,https://t.co/1uHgLvfnhR… Alejandra,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
36,36,36,KatyinIndy,KatyinIndy,"The heart of the wise inclines to the right, the heart of the fool to the left. --Solomon, Ecclesiastes 10:2. #MAGA Twitter suspended Oct 3, 2020–Dec 17, 2022",2009-02-16 03:08:33+00:00,105848,108035,[37],[],[],Politics,5256535,"The heart of the wise inclines to the right, the heart of the fool to the left. --Solomon, Ecclesiastes 10:2. #MAGA Twitter suspended Oct 3, 2020–Dec 17, 2022","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
37,37,37,Sarah Palin,SarahPalinUSA,follow me on IG @sarahpalin97,2009-08-13 22:56:16+00:00,1398419,599,[],[],"[""obama declares stay-at-home moms aren't worth a hill of beans; says it's a choice 'we don't want americans to... URL""]",Politics,5256535,follow me on IG @sarahpalin97,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
38,38,38,Deplorable Dan,presbo,"Constitutionalist, Conservative, CHRISTian(Covenant theology), Navy veteran , Vietnam, (LPH-3) USS Okinawa, NRA. MAGA californiapatriot CODEOFVETS 1A 2A",2009-11-07 16:53:44+00:00,48170,41805,[37],[],[],Politics,5256535,"Constitutionalist, Conservative, CHRISTian(Covenant theology), Navy veteran , Vietnam, (LPH-3) USS Okinawa, NRA. MAGA californiapatriot CODEOFVETS 1A 2A","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
39,39,39,Fred St-Gelais,fredstgelais,Tweet pis Re-Tweet sont sur un bateau. Tweet tombe à l'eau. Qui est-ce qui reste?,2009-10-23 19:57:46+00:00,32329,811,[43],[],[],Science & Technology,234103,Tweet pis Re-Tweet sont sur un bateau. Tweet tombe à l'eau. Qui est-ce qui reste?,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
40,40,40,Katie Roof,Katie_Roof,"Roof, like the Fiddler. VC & tech deals for Bloomberg @business @bloombergdeals. M&A, IPOs & late stage VC. LA again via SF and NYC. 📱 Signal: katieroof.32",2010-01-30 22:00:52+00:00,52934,6559,[43],[],[],Science & Technology,234103,"Roof, like the Fiddler. VC & tech deals for Bloomberg @business @bloombergdeals. M&A, IPOs & late stage VC. LA again via SF and NYC. 📱 Signal: katieroof.32","[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","['active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active', 'active']"
